Disease,Variant,Features Used,Removed Feature,Accuracy,Precision,Recall,F1 Score,Macro F1,Balanced Accuracy,ROC AUC
underweight,All features,7,None,0.9684291942061595,0.9682637392755128,0.9684291942061595,0.9682896129762397,0.9485164960522942,0.9413571547539948,0.9965273962807015
underweight,Without age_months,6,age_months,0.7072844888201378,0.6929530256105747,0.7072844888201378,0.6993948457375825,0.5176499532407169,0.5101793266174685,0.8078349614168493
underweight,Without sex,6,sex,0.8995687432616135,0.8987605765803193,0.8995687432616135,0.8990455998828109,0.8425447335445199,0.8333414855124449,0.9790509507517711
underweight,Without weight_kg,6,weight_kg,0.6747761683776309,0.6516448931639693,0.6747761683776309,0.6617180050778774,0.46197472271446033,0.45454846547100064,0.7166587535727871
underweight,Without height_cm,6,height_cm,0.9704917264332256,0.9703917990510565,0.9704917264332256,0.9704304007756959,0.9528092204709755,0.9495567108335209,0.9965338678324261
underweight,Without wealth_index,6,wealth_index,0.9723433178643416,0.9722942660365034,0.9723433178643416,0.9723114858447329,0.9562821968891314,0.9537257203883218,0.9971256728563688
underweight,Without mother_education,6,mother_education,0.9718745605400084,0.9718444217707504,0.9718745605400084,0.9718439963291406,0.9550918337974976,0.9516723457584044,0.9971285545710148
underweight,Without currently_breastfeeding,6,currently_breastfeeding,0.9713120517508086,0.9711947299928714,0.9713120517508086,0.9712283808954115,0.9536825029444111,0.9488745869884081,0.9971796043095006
stunting,All features,7,None,0.958960296254629,0.9589428554323658,0.958960296254629,0.958937840322259,0.9429295874891769,0.9410564424607174,0.9952425677758453
stunting,Without age_months,6,age_months,0.6479632494257723,0.5835985748524629,0.6479632494257723,0.5881133984284259,0.4234257813506854,0.4223964279750261,0.7265486125277553
stunting,Without sex,6,sex,0.9058266535414616,0.9058744164599516,0.9058266535414616,0.9057586698467022,0.8678602122253722,0.8636544777597042,0.9831215540722077
stunting,Without weight_kg,6,weight_kg,0.9590774855857123,0.9590476821543782,0.9590774855857123,0.9590487539134437,0.9430827744978382,0.9411313920345741,0.9954859645439664
stunting,Without height_cm,6,height_cm,0.6778230909857966,0.633318071094576,0.6778230909857966,0.643720986212843,0.5018460950150448,0.48991832297713006,0.7511918448238418
stunting,Without wealth_index,6,wealth_index,0.9591712370505789,0.9591633219630584,0.9591712370505789,0.9591513106175437,0.9431748369228409,0.9412114934173007,0.9952545499807294
stunting,Without mother_education,6,mother_education,0.9590306098532789,0.9590244277925706,0.9590306098532789,0.9590130695581206,0.9429924039914072,0.9411414651512588,0.995303111476496
stunting,Without currently_breastfeeding,6,currently_breastfeeding,0.958960296254629,0.9589428554323658,0.958960296254629,0.958937840322259,0.9429295874891769,0.9410564424607174,0.9952393224553724
wasting,All features,7,None,0.9767496367130737,0.9763103887206367,0.9767496367130737,0.9763960693958078,0.9419441075494969,0.928402937067499,0.9977177008065888
wasting,Without age_months,6,age_months,0.9794215534617728,0.9792116083427358,0.9794215534617728,0.9792842751314964,0.9497765603858506,0.9427949776272545,0.9979340659864633
wasting,Without sex,6,sex,0.9444288192003,0.9436737559506663,0.9444288192003,0.9439657185776579,0.8631736282639784,0.8531354109352725,0.9893375807518275
wasting,Without weight_kg,6,weight_kg,0.7559414990859232,0.708912912891345,0.7559414990859232,0.7300599431450536,0.3713327537367285,0.3684243590849294,0.5993763482514102
wasting,Without height_cm,6,height_cm,0.7909342333473961,0.7518569285041612,0.7909342333473961,0.7682662078473388,0.4430241999531767,0.4288842807532592,0.7185081190992356
wasting,Without wealth_index,6,wealth_index,0.9838981859091548,0.983729943548398,0.9838981859091548,0.9837893605080098,0.960091695018826,0.9543666564203339,0.9986767334220721
wasting,Without mother_education,6,mother_education,0.9827028547321052,0.982500475502504,0.9827028547321052,0.9825673025037769,0.9568179232071033,0.9498697469682362,0.998538743414677
wasting,Without currently_breastfeeding,6,currently_breastfeeding,0.982304411006422,0.9820757396741107,0.982304411006422,0.9821444872670491,0.9562822169866116,0.9484256823923994,0.9984915321264648
