Disease,Class,Predicted Probability,Observed Frequency,Brier Score
underweight,Normal,0.006030411932916105,0.00023185717597959656,0.018077505591396793
underweight,Normal,0.045264255945490904,0.0011576753878212549,0.018077505591396793
underweight,Normal,0.27846096633629625,0.16913875598086126,0.018077505591396793
underweight,Normal,0.8517886504625047,0.9406583217431618,0.018077505591396793
underweight,Normal,0.9670512160548935,0.9977618621307073,0.018077505591396793
underweight,Normal,0.9917040790029567,0.9994846024996779,0.018077505591396793
underweight,Normal,0.9999987228607917,1.0,0.018077505591396793
underweight,Moderate,0.0,0.0,0.02785195861940206
underweight,Moderate,0.004995691718525642,0.00023934897079942556,0.02785195861940206
underweight,Moderate,0.011994722466848056,0.0010720986330742428,0.02785195861940206
underweight,Moderate,0.030013608562691578,0.0027522935779816515,0.02785195861940206
underweight,Moderate,0.08209195566338537,0.013986013986013986,0.02785195861940206
underweight,Moderate,0.2784635393740319,0.17824128940507228,0.02785195861940206
underweight,Moderate,0.7401097643433499,0.883147113594041,0.02785195861940206
underweight,Moderate,0.941385987420392,0.9964471814306016,0.02785195861940206
underweight,Severe,0.0,0.0,0.009761407690243296
underweight,Severe,0.0049967145405052345,0.000281610813855252,0.009761407690243296
underweight,Severe,0.013620646881880681,0.00027909572983533354,0.009761407690243296
underweight,Severe,0.06846703209405773,0.010009532888465206,0.009761407690243296
underweight,Severe,0.7209097636941086,0.821747299201503,0.009761407690243296
stunting,Normal,0.003871036390721503,0.0,0.022571438147241857
stunting,Normal,0.028628191056910758,0.0004878048780487805,0.022571438147241857
stunting,Normal,0.10862603935128003,0.013583600889108422,0.022571438147241857
stunting,Normal,0.4902242663052568,0.45982665729679084,0.022571438147241857
stunting,Normal,0.8902483538238307,0.9769161810847153,0.022571438147241857
stunting,Normal,0.9687485272196179,0.9991423670668954,0.022571438147241857
stunting,Normal,0.9878896411794813,1.0,0.022571438147241857
stunting,Normal,0.9985599694624948,0.9998420470699731,0.022571438147241857
stunting,Moderate,0.0,0.00020620682544592226,0.03764585852169276
stunting,Moderate,0.004991296390875145,0.0,0.03764585852169276
stunting,Moderate,0.012059887120213587,0.0002365744026496333,0.03764585852169276
stunting,Moderate,0.026215775984041918,0.0007306380905991232,0.03764585852169276
stunting,Moderate,0.05512488541202054,0.004422476586888657,0.03764585852169276
stunting,Moderate,0.12140953806672379,0.027305389221556887,0.03764585852169276
stunting,Moderate,0.311080152453985,0.2266954229571052,0.03764585852169276
stunting,Moderate,0.6771043248283629,0.8260166358595195,0.03764585852169276
stunting,Moderate,0.9077429529934858,0.9885659838018104,0.03764585852169276
stunting,Severe,0.0,0.0,0.015293468392500294
stunting,Severe,0.005000000000000053,0.00024449877750611245,0.015293468392500294
stunting,Severe,0.0099979919678717,0.0,0.015293468392500294
stunting,Severe,0.019040760566522003,0.0,0.015293468392500294
stunting,Severe,0.06122761641862661,0.004560729716754681,0.015293468392500294
stunting,Severe,0.4456410970527954,0.5005880969183721,0.015293468392500294
stunting,Severe,0.929469304415778,0.9964830011723329,0.015293468392500294
wasting,Normal,0.03058979448855683,0.00023353573096683791,0.013847466495407482
wasting,Normal,0.33753793926586684,0.21084761681145808,0.013847466495407482
wasting,Normal,0.8972890812105419,0.9847594165033747,0.013847466495407482
wasting,Normal,0.9778124705327679,1.0,0.013847466495407482
wasting,Normal,0.9933830920119305,1.0,0.013847466495407482
wasting,Normal,0.9999995308336149,1.0,0.013847466495407482
wasting,Moderate,0.0,0.0,0.022339190383345833
wasting,Moderate,0.004998659966499029,0.0,0.022339190383345833
wasting,Moderate,0.009995856751693679,0.0,0.022339190383345833
wasting,Moderate,0.02243043981481497,0.0,0.022339190383345833
wasting,Moderate,0.06783679842573606,0.002053388090349076,0.022339190383345833
wasting,Moderate,0.25430093567251383,0.1672514619883041,0.022339190383345833
wasting,Moderate,0.7436949492565486,0.9251829124380457,0.022339190383345833
wasting,Severe,0.0,0.0,0.00843866434794554
wasting,Severe,0.0050000000000002725,0.0,0.00843866434794554
wasting,Severe,0.011844919786096706,0.0,0.00843866434794554
wasting,Severe,0.050304650152108686,0.0007822685788787483,0.00843866434794554
wasting,Severe,0.6340846033606897,0.7188745603751465,0.00843866434794554
